year,world_rank,institution,country
2009,94,"University of Sydney","Australia"
2009,97,"Aarhus University","Denmark"
2009,98,"University of Bonn","Germany"
2009,99,"Rice University","United States"
2009,100,"Emory University","United States"
2010,1,"Harvard University","United States"
2010,2,"University of California, Berkeley","United States"
2010,3,"Stanford University","United States"
2010,4,"Massachusetts Institute of Technology (MIT)","United States"
2010,5,"University of Cambridge","United Kingdom"
2010,6,"California Institute of Technology","United States"
2010,7,"Princeton University","United States"
2010,8,"Columbia University","United States"
2010,9,"University of Chicago","United States"
2010,10,"University of Oxford","United Kingdom"
2010,11,"Yale University","United States"
2010,12,"Cornell University","United States"
2010,13,"University of California, Los Angeles","United States"
2010,14,"University of California, San Diego","United States"
2010,15,"University of Pennsylvania","United States"
2010,16,"University of Washington","United States"
2010,17,"University of Wisconsin - Madison","United States"
2010,18,"The Johns Hopkins University","United States"
2010,18,"University of California, San Francisco","United States"
2010,20,"The University of Tokyo","Japan"
2010,21,"University College London","United Kingdom"
2010,22,"University of Michigan - Ann Arbor","United States"
2010,23,"Swiss Federal Institute of Technology Zurich","Switzerland"
2010,24,"Kyoto University","Japan"
2010,25,"University of Illinois at Urbana-Champaign","United States"
2010,26,"The Imperial College of Science","United Kingdom"
2010,27,"University of Toronto","Canada"
2010,28,"University of Minnesota","United States"
2010,29,"Northwestern University","United States"
2010,30,"Washington University in St. Louis","United States"
2010,31,"New York University","United States"
2010,32,"University of California, Santa Barbara","United States"
2010,32,"University of Colorado at Boulder","United States"
2010,34,"Rockefeller University","United States"
2010,35,"Duke University","United States"
2010,36,"University of British Columbia","Canada"
2010,36,"University of Maryland, College Park","United States"
2010,38,"The University of Texas at Austin","United States"
2010,39,"Pierre and Marie Curie University - Paris 6","France"
2010,40,"University of Copenhagen","Denmark"
2010,41,"University of North Carolina at Chapel Hill","United States"
2010,42,"Karolinska Institute","Sweden"
2010,43,"Pennsylvania State University - University Park","United States"
2010,44,"The University of Manchester","United Kingdom"
2010,45,"University of Paris Sud (Paris 11)","France"
2010,46,"University of California, Davis","United States"
2010,46,"University of California, Irvine","United States"
2010,46,"University of Southern California","United States"
2010,49,"The University of Texas Southwestern Medical Center at Dallas","United States"
2010,50,"Utrecht University","Netherlands"
2010,51,"University of Zurich","Switzerland"
2010,52,"University of Munich","Germany"
2010,53,"Vanderbilt University","United States"
2010,54,"Rutgers","United States"
2010,54,"The University of Edinburgh","United Kingdom"
2010,56,"Technical University Munich","Germany"
2010,56,"University of Pittsburgh","United States"
2010,58,"Carnegie Mellon University","United States"
2010,59,"The Australian National University","Australia"
2010,59,"The Ohio State University - Columbus","United States"
2010,61,"McGill University","Canada"
2010,62,"University of Melbourne","Australia"
2010,63,"King's College London","United Kingdom"
2010,63,"University of Heidelberg","Germany"
2010,65,"Brown University","United States"
2010,66,"University of Bristol","United Kingdom"
2010,66,"Uppsala University","Sweden"
2010,68,"University of Florida","United States"
2010,69,"Purdue University - West Lafayette","United States"
2010,70,"Leiden University","Netherlands"
2010,71,"Ecole Normale Superieure - Paris","France"
2010,72,"The Hebrew University of Jerusalem","Israel"
2010,72,"University of Helsinki","Finland"
2010,74,"Moscow State University","Russia"
2010,75,"Osaka University","Japan"
2010,75,"University of Oslo","Norway"
2010,77,"Boston University","United States"
2010,78,"University of Arizona","United States"
2010,79,"Nagoya University","Japan"
2010,79,"Stockholm University","Sweden"
2010,81,"Arizona State University - Tempe","United States"
2010,82,"University of Rochester","United States"
2010,82,"University of Utah","United States"
2010,84,"Tohoku University","Japan"
2010,84,"University of Nottingham","United Kingdom"
2010,86,"Michigan State University","United States"
2010,86,"University of Basel","Switzerland"
2010,88,"McMaster University","Canada"
2010,88,"The University of Sheffield","United Kingdom"
2010,90,"Ghent University","Belgium"
2010,90,"Indiana University Bloomington","United States"
2010,92,"University of Sydney","Australia"
2010,93,"University of Bonn","Germany"
2010,93,"University of Goettingen","Germany"
2010,95,"Texas A&M University - College Station","United States"
2010,96,"University of Virginia","United States"
2010,97,"Case Western Reserve University","United States"
2010,98,"Aarhus University","Denmark"
2010,99,"Rice University","United States"
2010,99,"University of Birmingham","United Kingdom"
2011,1,"Harvard University","United States"
2011,2,"Stanford University","United States"
2011,3,"Massachusetts Institute of Technology (MIT)","United States"
2011,4,"University of California, Berkeley","United States"
2011,5,"University of Cambridge","United Kingdom"
2011,6,"California Institute of Technology","United States"
2011,7,"Princeton University","United States"
2011,8,"Columbia University","United States"
2011,9,"University of Chicago","United States"
2011,10,"University of Oxford","United Kingdom"
2011,11,"Yale University","United States"
2011,12,"University of California, Los Angeles","United States"
2011,13,"Cornell University","United States"
2011,14,"University of Pennsylvania","United States"
2011,15,"University of California, San Diego","United States"
2011,16,"University of Washington","United States"
2011,17,"University of California, San Francisco","United States"
2011,18,"The Johns Hopkins University","United States"
2011,19,"University of Wisconsin - Madison","United States"
2011,20,"University College London","United Kingdom"
2011,21,"The University of Tokyo","Japan"
2011,22,"University of Michigan - Ann Arbor","United States"
2011,23,"Swiss Federal Institute of Technology Zurich","Switzerland"
2011,24,"The Imperial College of Science","United Kingdom"
2011,25,"University of Illinois at Urbana-Champaign","United States"
2011,26,"University of Toronto","Canada"
2011,27,"Kyoto University","Japan"
2011,28,"University of Minnesota","United States"
2011,29,"New York University","United States"
2011,30,"Northwestern University","United States"
2011,31,"Washington University in St. Louis","United States"
2011,32,"University of Colorado at Boulder","United States"
2011,33,"Rockefeller University","United States"
2011,33,"University of California, Santa Barbara","United States"
2011,35,"Duke University","United States"
2011,35,"The University of Texas at Austin","United States"
2011,37,"University of British Columbia","Canada"
2011,38,"The University of Manchester","United Kingdom"
2011,38,"University of Maryland, College Park","United States"
2011,40,"University of Paris Sud (Paris 11)","France"
2011,41,"Pierre and Marie Curie University - Paris 6","France"
2011,42,"University of North Carolina at Chapel Hill","United States"
2011,43,"University of Copenhagen","Denmark"
2011,44,"Karolinska Institute","Sweden"
2011,45,"Pennsylvania State University - University Park","United States"
2011,46,"University of Southern California","United States"
2011,47,"Technical University Munich","Germany"
2011,48,"University of California, Davis","United States"
2011,48,"University of California, Irvine","United States"
2011,48,"Utrecht University","Netherlands"
2011,51,"The University of Texas Southwestern Medical Center at Dallas","United States"
2011,52,"Vanderbilt University","United States"
2011,53,"The University of Edinburgh","United Kingdom"
2011,54,"University of Munich","Germany"
2011,55,"Carnegie Mellon University","United States"
2011,56,"University of Zurich","Switzerland"
2011,57,"The Hebrew University of Jerusalem","Israel"
2011,57,"University of Pittsburgh","United States"
2011,59,"Rutgers","United States"
2011,60,"University of Melbourne","Australia"
2011,61,"Purdue University - West Lafayette","United States"
2011,62,"University of Heidelberg","Germany"
2011,63,"The Ohio State University - Columbus","United States"
2011,64,"McGill University","Canada"
2011,65,"Brown University","United States"
2011,65,"Leiden University","Netherlands"
2011,67,"Uppsala University","Sweden"
2011,68,"King's College London","United Kingdom"
2011,69,"Ecole Normale Superieure - Paris","France"
2011,70,"The Australian National University","Australia"
2011,70,"University of Bristol","United Kingdom"
2011,72,"University of Florida","United States"
2011,73,"University of Geneva","Switzerland"
2011,74,"University of Helsinki","Finland"
2011,75,"University of Oslo","Norway"
2011,76,"Boston University","United States"
2011,77,"Moscow State University","Russia"
2011,78,"Arizona State University - Tempe","United States"
2011,79,"University of Utah","United States"
2011,80,"University of Arizona","United States"
2011,81,"Stockholm University","Sweden"
2011,82,"Indiana University Bloomington","United States"
2011,82,"Osaka University","Japan"
2011,84,"University of Rochester","United States"
2011,85,"University of Nottingham","United Kingdom"
2011,86,"Aarhus University","Denmark"
2011,86,"The University of Queensland","Australia"
2011,86,"University of Goettingen","Germany"
2011,89,"Ghent University","Belgium"
2011,89,"McMaster University","Canada"
2011,89,"University of Basel","Switzerland"
2011,92,"Michigan State University","United States"
2011,93,"Rice University","United States"
2011,94,"Nagoya University","Japan"
2011,94,"University of Bonn","Germany"
2011,96,"University of Sydney","Australia"
2011,97,"Case Western Reserve University","United States"
2011,97,"The University of Sheffield","United Kingdom"
2011,97,"Tohoku University","Japan"
2011,100,"Texas A&M University - College Station","United States"
2011,100,"University of Frankfurt","Germany"
2012,1,"Harvard University","United States"
2012,2,"Stanford University","United States"
2012,3,"Massachusetts Institute of Technology (MIT)","United States"
2012,4,"University of California, Berkeley","United States"
2012,5,"University of Cambridge","United Kingdom"
2012,6,"California Institute of Technology","United States"
2012,7,"Princeton University","United States"
2012,8,"Columbia University","United States"
2012,9,"University of Chicago","United States"
2012,10,"University of Oxford","United Kingdom"
2012,11,"Yale University","United States"
2012,12,"University of California, Los Angeles","United States"
2012,13,"Cornell University","United States"
2012,14,"University of Pennsylvania","United States"
2012,15,"University of California, San Diego","United States"
2012,16,"University of Washington","United States"
2012,17,"The Johns Hopkins University","United States"
2012,18,"University of California, San Francisco","United States"
2012,19,"University of Wisconsin - Madison","United States"
2012,20,"The University of Tokyo","Japan"
2012,21,"University College London","United Kingdom"
2012,22,"University of Michigan - Ann Arbor","United States"
2012,23,"Swiss Federal Institute of Technology Zurich","Switzerland"
2012,24,"The Imperial College of Science","United Kingdom"
2012,25,"University of Illinois at Urbana-Champaign","United States"
2012,26,"Kyoto University","Japan"
2012,27,"New York University","United States"
2012,27,"University of Toronto","Canada"
2012,29,"University of Minnesota","United States"
2012,30,"Northwestern University","United States"
2012,31,"Washington University in St. Louis","United States"
2012,32,"Rockefeller University","United States"
2012,33,"University of Colorado at Boulder","United States"
2012,34,"University of California, Santa Barbara","United States"
2012,35,"The University of Texas at Austin","United States"
2012,36,"Duke University","United States"
2012,37,"University of Paris Sud (Paris 11)","France"
2012,38,"University of Maryland, College Park","United States"
2012,39,"University of British Columbia","Canada"
2012,40,"The University of Manchester","United Kingdom"
2012,41,"University of North Carolina at Chapel Hill","United States"
2012,42,"Karolinska Institute","Sweden"
2012,42,"Pierre and Marie Curie University - Paris 6","France"
2012,44,"University of Copenhagen","Denmark"
2012,45,"University of California, Irvine","United States"
2012,46,"University of Southern California","United States"
2012,47,"University of California, Davis","United States"
2012,48,"The University of Texas Southwestern Medical Center at Dallas","United States"
2012,49,"Pennsylvania State University - University Park","United States"
2012,50,"Vanderbilt University","United States"
2012,51,"Carnegie Mellon University","United States"
2012,51,"The University of Edinburgh","United Kingdom"
2012,53,"Technical University Munich","Germany"
2012,53,"The Hebrew University of Jerusalem","Israel"
2012,53,"Utrecht University","Netherlands"
2012,56,"Purdue University - West Lafayette","United States"
2012,57,"University of Melbourne","Australia"
2012,58,"University of Pittsburgh","United States"
2012,59,"University of Zurich","Switzerland"
2012,60,"University of Munich","Germany"
2012,61,"Rutgers","United States"
2012,62,"University of Heidelberg","Germany"
2012,63,"McGill University","Canada"
2012,64,"The Australian National University","Australia"
2012,65,"Brown University","United States"
2012,65,"The Ohio State University - Columbus","United States"
2012,67,"University of Oslo","Norway"
2012,68,"King's College London","United Kingdom"
2012,69,"University of Geneva","Switzerland"
2012,70,"University of Bristol","United Kingdom"
2012,71,"Boston University","United States"
2012,72,"University of Florida","United States"
2012,73,"Ecole Normale Superieure - Paris","France"
2012,73,"Leiden University","Netherlands"
2012,73,"University of Helsinki","Finland"
2012,73,"Uppsala University","Sweden"
2012,77,"University of Arizona","United States"
2012,78,"Technion-Israel Institute of Technology","Israel"
2012,79,"Arizona State University - Tempe","United States"
2012,80,"Moscow State University","Russia"
2012,81,"Stockholm University","Sweden"
2012,82,"University of Utah","United States"
2012,83,"Osaka University","Japan"
2012,84,"Indiana University Bloomington","United States"
2012,85,"University of Basel","Switzerland"
2012,86,"Aarhus University","Denmark"
2012,86,"University of Nottingham","United Kingdom"
2012,86,"University of Rochester","United States"
2012,89,"Ghent University","Belgium"
2012,90,"The University of Queensland","Australia"
2012,91,"Rice University","United States"
2012,92,"McMaster University","Canada"
2012,93,"Texas A&M University - College Station","United States"
2012,93,"University of Sydney","Australia"
2012,93,"Weizmann Institute of Science","Israel"
2012,96,"Michigan State University","United States"
2012,96,"Nagoya University","Japan"
2012,96,"The University of Western Australia","Australia"
2012,99,"Case Western Reserve University","United States"
2012,99,"University of Freiburg","Germany"
2013,1,"Harvard University","United States"
2013,2,"Stanford University","United States"
2013,3,"University of California, Berkeley","United States"
2013,4,"Massachusetts Institute of Technology (MIT)","United States"
2013,5,"University of Cambridge","United Kingdom"
2013,6,"California Institute of Technology","United States"
2013,7,"Princeton University","United States"
2013,8,"Columbia University","United States"
2013,9,"University of Chicago","United States"
2013,10,"University of Oxford","United Kingdom"
2013,11,"Yale University","United States"
2013,12,"University of California, Los Angeles","United States"
2013,13,"Cornell University","United States"
2013,14,"University of California, San Diego","United States"
2013,15,"University of Pennsylvania","United States"
2013,16,"University of Washington","United States"
2013,17,"The Johns Hopkins University","United States"
2013,18,"University of California, San Francisco","United States"
2013,19,"University of Wisconsin - Madison","United States"
2013,20,"Swiss Federal Institute of Technology Zurich","Switzerland"
2013,21,"The University of Tokyo","Japan"
2013,21,"University College London","United Kingdom"
2013,23,"University of Michigan - Ann Arbor","United States"
2013,24,"The Imperial College of Science, Technology and Medicine","United Kingdom"
2013,25,"University of Illinois at Urbana-Champaign","United States"
2013,26,"Kyoto University","Japan"
2013,27,"New York University","United States"
2013,28,"University of Toronto","Canada"
2013,29,"University of Minnesota, Twin Cities","United States"
2013,30,"Northwestern University","United States"
2013,31,"Duke University","United States"
2013,32,"Washington University in St. Louis","United States"
2013,33,"University of Colorado at Boulder","United States"
2013,34,"Rockefeller University","United States"
2013,35,"University of California, Santa Barbara","United States"
2013,36,"The University of Texas at Austin","United States"
2013,37,"Pierre and Marie  Curie University - Paris 6","France"
2013,38,"University of Maryland, College Park","United States"
2013,39,"University of Paris Sud (Paris 11)","France"
2013,40,"University of British Columbia","Canada"
2013,41,"The University of Manchester","United Kingdom"
2013,42,"University of Copenhagen","Denmark"
2013,43,"University of North Carolina at Chapel Hill","United States"
2013,44,"Karolinska Institute","Sweden"
2013,45,"University of California, Irvine","United States"
2013,46,"The University of Texas Southwestern Medical Center at Dallas","United States"
2013,47,"University of California, Davis","United States"
2013,47,"University of Southern California","United States"
2013,49,"Vanderbilt University","United States"
2013,50,"Technical University Munich","Germany"
2013,51,"The University of Edinburgh","United Kingdom"
2013,52,"Carnegie Mellon University","United States"
2013,52,"Utrecht University","Netherlands"
2013,54,"Pennsylvania State University - University Park","United States"
2013,54,"University of Heidelberg","Germany"
2013,54,"University of Melbourne","Australia"
2013,57,"Purdue University - West Lafayette","United States"
2013,58,"McGill University","Canada"
2013,59,"The Hebrew University of Jerusalem","Israel"
2013,60,"University of Zurich","Switzerland"
2013,61,"Rutgers, The State University of New Jersey - New Brunswick","United States"
2013,61,"University of Munich","Germany"
2013,61,"University of Pittsburgh","United States"
2013,64,"University of Bristol","United Kingdom"
2013,65,"The Ohio State University - Columbus","United States"
2013,66,"The Australian National University","Australia"
2013,67,"Brown University","United States"
2013,67,"King's College London","United Kingdom"
2013,69,"University of Geneva","Switzerland"
2013,69,"University of Oslo","Norway"
2013,71,"Ecole Normale Superieure - Paris","France"
2013,71,"University of Florida","United States"
2013,73,"Uppsala University","Sweden"
2013,74,"Leiden University","Netherlands"
2013,75,"Boston University","United States"
2013,76,"University of Helsinki","Finland"
2013,77,"Technion-Israel Institute of Technology","Israel"
2013,78,"University of Arizona","United States"
2013,79,"Arizona State University - Tempe","United States"
2013,79,"Moscow State University","Russia"
2013,81,"Aarhus University","Denmark"
2013,82,"Stockholm University","Sweden"
2013,83,"University of Basel","Switzerland"
2013,83,"University of Nottingham","United Kingdom"
2013,85,"Ghent University","Belgium"
2013,85,"Indiana University Bloomington","United States"
2013,85,"Osaka University","Japan"
2013,85,"The University of Queensland","Australia"
2013,85,"University of Utah","United States"
2013,90,"University of Rochester","United States"
2013,91,"The University of Western Australia","Australia"
2013,92,"McMaster University","Canada"
2013,92,"Michigan State University","United States"
2013,92,"Rice University","United States"
2013,92,"University of Groningen","Netherlands"
2013,92,"Weizmann Institute of Science","Israel"
2013,97,"University of Strasbourg","France"
2013,97,"University of Sydney","Australia"
2013,99,"Case Western Reserve University","United States"
2013,100,"University of Freiburg","Germany"
2014,1,Harvard University,United States
2014,2,Stanford University,United States
2014,3,Massachusetts Institute of Technology (MIT),United States
2014,4,University of California-Berkeley,United States
2014,5,University of Cambridge,United Kingdom
2014,6,Princeton University,United States
2014,7,California Institute of Technology,United States
2014,8,Columbia University,United States
2014,9,University of Chicago,United States
2014,9,University of Oxford,United Kingdom
2014,11,Yale University,United States
2014,12,"University of California, Los Angeles",United States
2014,13,Cornell University,United States
2014,14,"University of California, San Diego",United States
2014,15,University of Washington,United States
2014,16,University of Pennsylvania,United States
2014,17,The Johns Hopkins University,United States
2014,18,"University of California, San Francisco",United States
2014,19,Swiss Federal Institute of Technology Zurich,Switzerland
2014,20,University College London,United Kingdom
2014,21,The University of Tokyo,Japan
2014,22,"The Imperial College of Science, Technology and Medicine",United Kingdom
2014,22,University of Michigan-Ann Arbor,United States
2014,24,University of Toronto,Canada
2014,24,University of Wisconsin - Madison,United States
2014,26,Kyoto University,Japan
2014,27,New York University,United States
2014,28,Northwestern University,United States
2014,28,University of Illinois at Urbana-Champaign,United States
2014,30,"University of Minnesota, Twin Cities",United States
2014,31,Duke University,United States
2014,32,Washington University in St. Louis,United States
2014,33,Rockefeller University,United States
2014,34,University of Colorado at Boulder,United States
2014,35,Pierre and Marie Curie University - Paris 6,France
2014,36,University of North Carolina at Chapel Hill,United States
2014,37,University of British Columbia,Canada
2014,38,The University of Manchester,United Kingdom
2014,39,The University of Texas at Austin,United States
2014,39,University of Copenhagen,Denmark
2014,41,"University of California, Santa Barbara",United States
2014,42,University of Paris Sud (Paris 11),France
2014,43,"University of Maryland, College Park",United States
2014,44,The University of Melbourne,Australia
2014,45,The University of Edinburgh,United Kingdom
2014,45,The University of Texas Southwestern Medical Center at Dallas,United States
2014,47,Karolinska Institute,Sweden
2014,47,"University of California, Irvine",United States
2014,49,Heidelberg University,Germany
2014,49,University of Munich,Germany
2014,51,University of Southern California,United States
2014,52,"Rutgers, The State University of New Jersey - New Brunswick",United States
2014,53,Technical University Munich,Germany
2014,54,Vanderbilt University,United States
2014,55,"University of California, Davis",United States
2014,56,University of Zurich,Switzerland
2014,57,Utrecht University,Netherlands
2014,58,Pennsylvania State University - University Park,United States
2014,59,King's College London,United Kingdom
2014,60,Purdue University - West Lafayette,United States
2014,60,Uppsala University,Sweden
2014,62,Carnegie Mellon University,United States
2014,63,University of Bristol,United Kingdom
2014,64,The Ohio State University - Columbus,United States
2014,65,University of Pittsburgh-Pittsburgh Campus,United States
2014,66,University of Geneva,Switzerland
2014,67,Ecole Normale Superieure - Paris,France
2014,67,McGill University,Canada
2014,69,University of Oslo,Norway
2014,70,Ghent University,Belgium
2014,70,The Hebrew University of Jerusalem,Israel
2014,72,Boston University,United States
2014,73,University of Helsinki,Finland
2014,74,Aarhus University,Denmark
2014,74,Brown University,United States
2014,74,The Australian National University,Australia
2014,77,Leiden University,Netherlands
2014,78,Osaka University,Japan
2014,78,Stockholm University,Sweden
2014,78,Technion-Israel Institute of Technology,Israel
2014,78,University of Florida,United States
2014,82,Rice University,United States
2014,82,University of Groningen,Netherlands
2014,84,Moscow State University,Russia
2014,85,The University of Queensland,Australia
2014,86,University of Arizona,United States
2014,87,University of Utah,United States
2014,88,Arizona State University,United States
2014,88,The University of Western Australia,Australia
2014,90,McMaster University,Canada
2014,90,University of Basel,Switzerland
2014,90,University of Rochester,United States
2014,93,"University of California, Santa Cruz",United States
2014,94,University of Bonn,Germany
2014,95,University of Strasbourg,France
2014,96,KU Leuven,Belgium
2014,96,Swiss Federal Institute of Technology Lausanne,Switzerland
2014,96,Texas A & M University,United States
2014,99,Georgia Institute of Technology,United States
2014,100,VU University Amsterdam,Netherlands
2015,1,Harvard University,United States
2015,2,Stanford University,United States
2015,3,Massachusetts Institute of Technology (MIT),United States
2015,4,"University of California, Berkeley",United States
2015,5,University of Cambridge,United Kingdom
2015,6,Princeton University,United States
2015,7,California Institute of Technology,United States
2015,8,Columbia University,United States
2015,9,University of Chicago,United States
2015,10,University of Oxford,United Kingdom
2015,11,Yale University,United States
2015,12,"University of California, Los Angeles",United States
2015,13,Cornell University,United States
2015,14,"University of California, San Diego",United States
2015,15,University of Washington,United States
2015,16,Johns Hopkins University,United States
2015,17,University of Pennsylvania,United States
2015,18,University College London,United Kingdom
2015,18,"University of California, San Francisco",United States
2015,20,Swiss Federal Institute of Technology Zurich,Switzerland
2015,21,The University of Tokyo,Japan
2015,22,University of Michigan-Ann Arbor,United States
2015,23,"The Imperial College of Science, Technology and Medicine",United Kingdom
2015,24,University of Wisconsin - Madison,United States
2015,25,University of Toronto,Canada
2015,26,Kyoto University,Japan
2015,27,New York University,United States
2015,27,Northwestern University,United States
2015,29,University of Illinois at Urbana-Champaign,United States
2015,30,"University of Minnesota, Twin Cities",United States
2015,31,Duke University,United States
2015,32,Washington University in St. Louis,United States
2015,33,Rockefeller University,United States
2015,34,University of Colorado at Boulder,United States
2015,35,University of Copenhagen,Denmark
2015,36,Pierre and Marie Curie University - Paris 6,France
2015,37,The University of Texas at Austin,United States
2015,38,"University of California, Santa Barbara",United States
2015,39,University of North Carolina at Chapel Hill,United States
2015,40,University of British Columbia,Canada
2015,41,The University of Manchester,United Kingdom
2015,41,University of Paris-Sud (Paris 11),France
2015,43,"University of Maryland, College Park",United States
2015,44,The University of Melbourne,Australia
2015,44,The University of Texas Southwestern Medical Center at Dallas,United States
2015,46,Heidelberg University,Germany
2015,47,The University of Edinburgh,United Kingdom
2015,48,Karolinska Institute,Sweden
2015,49,University of Southern California,United States
2015,50,"University of California, Irvine",United States
2015,51,Technical University Munich,Germany
2015,52,University of Munich,Germany
2015,53,Vanderbilt University,United States
2015,54,University of Zurich,Switzerland
2015,55,King's College London,United Kingdom
2015,56,Utrecht University,Netherlands
2015,57,"University of California, Davis",United States
2015,58,University of Geneva,Switzerland
2015,58,University of Oslo,Norway
2015,60,Pennsylvania State University - University Park,United States
2015,61,Carnegie Mellon University,United States
2015,61,Purdue University - West Lafayette,United States
2015,61,Uppsala University,Sweden
2015,64,McGill University,Canada
2015,64,"Rutgers, The State University of New Jersey - New Brunswick",United States
2015,66,University of Bristol,United Kingdom
2015,67,The Hebrew University of Jerusalem,Israel
2015,67,The Ohio State University - Columbus,United States
2015,67,University of Helsinki,Finland
2015,70,"University of Pittsburgh, Pittsburgh Campus",United States
2015,71,Ghent University,Belgium
2015,72,Ecole Normale Superieure - Paris,France
2015,73,Aarhus University,Denmark
2015,73,Boston University,United States
2015,75,Brown University,United States
2015,75,University of Groningen,Netherlands
2015,77,Nagoya University,Japan
2015,77,Stockholm University,Sweden
2015,77,Technion-Israel Institute of Technology,Israel
2015,77,The Australian National University,Australia
2015,77,The University of Queensland,Australia
2015,82,Leiden University,Netherlands
2015,83,University of Florida,United States
2015,84,Rice University,United States
2015,85,Osaka University,Japan
2015,86,Moscow State University,Russia
2015,87,The University of Western Australia,Australia
2015,87,University of Basel,Switzerland
2015,87,University of Strasbourg,France
2015,90,KU Leuven,Belgium
2015,90,University of Arizona,United States
2015,92,University of Warwick,United Kingdom
2015,93,Arizona State University,United States
2015,93,"University of California, Santa Cruz",United States
2015,93,University of Utah,United States
2015,96,McMaster University,Canada
2015,97,University of Bonn,Germany
2015,98,VU University Amsterdam,Netherlands
2015,99,Michigan State University,United States
2015,100,Texas A&M University,United States
2016,1,Harvard University,United States
2016,2,Stanford University,United States
2016,3,"University of California, Berkeley",United States
2016,4,University of Cambridge,United Kingdom
2016,5,Massachusetts Institute of Technology (MIT),United States
2016,6,Princeton University,United States
2016,7,University of Oxford,United Kingdom
2016,8,California Institute of Technology,United States
2016,9,Columbia University,United States
2016,10,University of Chicago,United States
2016,11,Yale University,United States
2016,12,"University of California, Los Angeles",United States
2016,13,Cornell University,United States
2016,14,"University of California, San Diego",United States
2016,15,University of Washington,United States
2016,16,Johns Hopkins University,United States
2016,17,University College London,United Kingdom
2016,18,University of Pennsylvania,United States
2016,19,Swiss Federal Institute of Technology Zurich,Switzerland
2016,20,The University of Tokyo,Japan
2016,21,"University of California, San Francisco",United States
2016,22,"The Imperial College of Science, Technology and Medicine",United Kingdom
2016,23,University of Michigan-Ann Arbor,United States
2016,23,Washington University in St. Louis,United States
2016,25,Duke University,United States
2016,26,Northwestern University,United States
2016,27,University of Toronto,Canada
2016,28,University of Wisconsin - Madison,United States
2016,29,New York University,United States
2016,30,University of Copenhagen,Denmark
2016,30,University of Illinois at Urbana-Champaign,United States
2016,32,Kyoto University,Japan
2016,33,"University of Minnesota, Twin Cities",United States
2016,34,University of British Columbia,Canada
2016,35,The University of Manchester,United Kingdom
2016,35,University of North Carolina at Chapel Hill,United States
2016,37,Rockefeller University,United States
2016,38,University of Colorado at Boulder,United States
2016,39,Pierre and Marie Curie University - Paris 6,France
2016,40,The University of Melbourne,Australia
2016,41,The University of Edinburgh,United Kingdom
2016,42,"University of California, Santa Barbara",United States
2016,43,The University of Texas Southwestern Medical Center at Dallas,United States
2016,44,Karolinska Institute,Sweden
2016,44,The University of Texas at Austin,United States
2016,46,University of Paris-Sud (Paris 11),France
2016,47,Heidelberg University,Germany
2016,47,Technical University Munich,Germany
2016,49,University of Southern California,United States
2016,50,King's College London,United Kingdom
2016,51,University of Munich,Germany
2016,52,"University of Maryland, College Park",United States
2016,53,University of Geneva,Switzerland
2016,54,University of Zurich,Switzerland
2016,55,The University of Queensland,Australia
2016,56,University of Helsinki,Finland
2016,57,University of Bristol,United Kingdom
2016,58,Tsinghua University,China
2016,58,"University of California, Irvine",United States
2016,60,Uppsala University,Sweden
2016,60,Vanderbilt University,United States
2016,62,Ghent University,Belgium
2016,63,McGill University,Canada
2016,63,Purdue University - West Lafayette,United States
2016,65,Aarhus University,Denmark
2016,65,Utrecht University,Netherlands
2016,67,University of Oslo,Norway
2016,68,Carnegie Mellon University,United States
2016,69,Technion-Israel Institute of Technology,Israel
2016,70,"University of Pittsburgh, Pittsburgh Campus",United States
2016,71,Peking University,China
2016,72,Nagoya University,Japan
2016,72,Rice University,United States
2016,72,University of Groningen,Netherlands
2016,75,Boston University,United States
2016,75,"University of California, Davis",United States
2016,77,Pennsylvania State University - University Park,United States
2016,77,The Australian National University,Australia
2016,79,Monash University,Australia
2016,79,The Ohio State University - Columbus,United States
2016,81,Stockholm University,Sweden
2016,82,University of Sydney,Australia
2016,83,McMaster University,Canada
2016,83,National University of Singapore,Singapore
2016,83,"University of California, Santa Cruz",United States
2016,86,Mayo Medical School,United States
2016,87,Ecole Normale Superieure - Paris,France
2016,87,Moscow State University,Russia
2016,87,The Hebrew University of Jerusalem,Israel
2016,90,Brown University,United States
2016,90,University of Florida,United States
2016,92,Swiss Federal Institute of Technology Lausanne,Switzerland
2016,93,Georgia Institute of Technology,United States
2016,93,KU Leuven,Belgium
2016,93,Leiden University,Netherlands
2016,96,Osaka University,Japan
2016,96,"Rutgers, The State University of New Jersey - New Brunswick",United States
2016,96,The University of Texas M. D. Anderson Cancer Center,United States
2016,96,The University of Western Australia,Australia
2016,100,University of Utah,United States
2017,1,Harvard University,United States
2017,2,Stanford University,United States
2017,3,University of Cambridge,United Kingdom
2017,4,Massachusetts Institute of Technology (MIT),United States
2017,5,"University of California, Berkeley",United States
2017,6,Princeton University,United States
2017,7,University of Oxford,United Kingdom
2017,8,Columbia University,United States
2017,9,California Institute of Technology,United States
2017,10,University of Chicago,United States
2017,11,Yale University,United States
2017,12,"University of California, Los Angeles",United States
2017,13,University of Washington,United States
2017,14,Cornell University,United States
2017,15,"University of California, San Diego",United States
2017,16,University College London,United Kingdom
2017,17,University of Pennsylvania,United States
2017,18,Johns Hopkins University,United States
2017,19,Swiss Federal Institute of Technology Zurich,Switzerland
