year,world_rank,institution,country
2004,38,"Vanderbilt University","United States"
2004,39,"Utrecht University","Netherlands"
2004,40,"The University of Texas at Austin","United States"
2004,41,"Pierre and Marie Curie University - Paris 6","France"
2004,42,"University of California, Davis","United States"
2004,43,"Pennsylvania State University - University Park","United States"
2004,44,"Rutgers","United States"
2004,45,"Technical University Munich","Germany"
2004,46,"Karolinska Institute","Sweden"
2004,47,"The University of Edinburgh","United Kingdom"
2004,48,"University of Paris Sud (Paris 11)","France"
2004,48,"University of Pittsburgh","United States"
2004,48,"University of Southern California","United States"
2004,51,"University of Munich","Germany"
2004,52,"University of Rochester","United States"
2004,53,"The Australian National University","Australia"
2004,54,"Osaka University","Japan"
2004,55,"University of California, Irvine","United States"
2004,56,"University of North Carolina at Chapel Hill","United States"
2004,57,"University of Maryland, College Park","United States"
2004,57,"University of Zurich","Switzerland"
2004,59,"University of Copenhagen","Denmark"
2004,60,"University of Bristol","United Kingdom"
2004,61,"McGill University","Canada"
2004,62,"Carnegie Mellon University","United States"
2004,63,"Leiden University","Netherlands"
2004,64,"University of Heidelberg","Germany"
2004,65,"Case Western Reserve University","United States"
2004,66,"Moscow State University","Russia"
2004,67,"University of Florida","United States"
2004,68,"University of Oslo","Norway"
2004,69,"The University of Sheffield","United Kingdom"
2004,69,"Tohoku University","Japan"
2004,71,"Purdue University - West Lafayette","United States"
2004,72,"University of Helsinki","Finland"
2004,73,"The Ohio State University - Columbus","United States"
2004,74,"Uppsala University","Sweden"
2004,75,"Rice University","United States"
2004,76,"University of Arizona","United States"
2004,77,"King's College London","United Kingdom"
2004,78,"The University of Manchester","United Kingdom"
2004,79,"University of Goettingen","Germany"
2004,80,"Michigan State University","United States"
2004,80,"University of Nottingham","United Kingdom"
2004,82,"Brown University","United States"
2004,82,"University of Melbourne","Australia"
2004,82,"University of Strasbourg","France"
2004,85,"Ecole Normale Superieure - Paris","France"
2004,86,"Boston University","United States"
2004,86,"University of Vienna","Austria"
2004,88,"McMaster University","Canada"
2004,88,"University of Freiburg","Germany"
2004,90,"The Hebrew University of Jerusalem","Israel"
2004,91,"University of Basel","Switzerland"
2004,92,"Lund University","Sweden"
2004,93,"University of Birmingham","United Kingdom"
2004,93,"University of Roma - La Sapienza","Italy"
2004,95,"Humboldt University of Berlin","Germany"
2004,95,"University of Utah","United States"
2004,97,"Nagoya University","Japan"
2004,97,"Stockholm University","Sweden"
2004,99,"Tufts University","United States"
2004,99,"University of Bonn","Germany"
2005,1,"Harvard University","United States"
2005,2,"University of Cambridge","United Kingdom"
2005,3,"Stanford University","United States"
2005,4,"University of California, Berkeley","United States"
2005,5,"Massachusetts Institute of Technology (MIT)","United States"
2005,6,"California Institute of Technology","United States"
2005,7,"Columbia University","United States"
2005,8,"Princeton University","United States"
2005,9,"University of Chicago","United States"
2005,10,"University of Oxford","United Kingdom"
2005,11,"Yale University","United States"
2005,12,"Cornell University","United States"
2005,13,"University of California, San Diego","United States"
2005,14,"University of California, Los Angeles","United States"
2005,15,"University of Pennsylvania","United States"
2005,16,"University of Wisconsin - Madison","United States"
2005,17,"University of Washington","United States"
2005,18,"University of California, San Francisco","United States"
2005,19,"The Johns Hopkins University","United States"
2005,20,"The University of Tokyo","Japan"
2005,21,"University of Michigan - Ann Arbor","United States"
2005,22,"Kyoto University","Japan"
2005,23,"The Imperial College of Science","United Kingdom"
2005,24,"University of Toronto","Canada"
2005,25,"University of Illinois at Urbana-Champaign","United States"
2005,26,"University College London","United Kingdom"
2005,27,"Swiss Federal Institute of Technology Zurich","Switzerland"
